Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,1961,1961,ha,375000,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,1962,1962,ha,365000,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,1963,1963,ha,413000,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,1964,1964,ha,415000,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,1965,1965,ha,429000,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,1966,1966,ha,479000,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,1967,1967,ha,473300,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,1968,1968,ha,501400,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,1969,1969,ha,524400,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,1970,1970,ha,496000,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,1971,1971,ha,481900,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,1972,1972,ha,491900,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,1973,1973,ha,504600,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,1974,1974,ha,543400,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,1975,1975,ha,587400,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,1976,1976,ha,622400,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,1977,1977,ha,619600,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,1978,1978,ha,665300,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,1979,1979,ha,807100,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,1980,1980,ha,685200,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,1981,1981,ha,732000,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,1982,1982,ha,762700,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,1983,1983,ha,735000,A,Official figure
QCL,Crops and livestock products,356,India,5312,Area harvested,1510,Potatoes,1984,1984,ha,794300,A,Official figure
