Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
India,24.36,17.33,19.66,23.98,27.98,30.01,29.30,27.15,26.45,26.31,24.85,21.19,17.93
"Madhya Pradesh",25.50,17.59,20.25,25.43,30.46,33.44,31.85,27.73,26.49,26.87,25.81,21.76,18.14
Jharkhand,24.89,17.04,19.71,24.76,29.46,31.32,30.41,27.70,27.35,27.09,25.25,21.10,17.31
"Andaman and Nicobar",26.70,25.86,26.05,26.80,28.04,27.58,26.93,26.62,26.58,26.40,26.52,26.66,26.29
Chhattisgarh,25.74,19.25,22.07,26.46,30.63,33.11,30.70,26.95,26.44,26.72,25.42,21.96,19.00
"Administrative unit not available",8.71,-2.29,-1.22,4.05,9.14,12.29,16.42,18.45,17.87,14.93,10.00,4.37,-0.08
Chandigarh,23.07,12.50,14.67,19.81,26.03,29.82,31.69,29.27,28.40,27.61,24.23,18.47,13.88
"Administrative unit not available",7.03,-4.28,-3.11,2.06,7.28,10.43,14.85,17.22,16.65,13.50,8.34,2.73,-1.89
"Daman and Diu",26.24,21.43,22.44,25.39,27.38,28.97,29.42,28.01,27.22,27.38,28.03,26.02,23.02
"Administrative unit not available",-0.59,-12.15,-11.28,-5.83,-0.60,2.05,6.78,10.17,9.75,6.44,0.79,-4.86,-9.08
"Dadra and Nagar Haveli",26.52,22.02,23.41,26.68,29.33,30.43,29.19,27.12,26.51,26.99,27.76,25.58,23.05
"Administrative unit not available",-2.86,-15.11,-13.85,-8.41,-3.01,-0.09,5.13,9.16,8.74,4.84,-1.91,-8.06,-12.42
"Administrative unit not available",21.09,9.98,12.06,17.00,23.08,27.48,30.37,28.86,27.99,26.46,22.16,16.11,11.08
"Administrative unit not available",9.43,-1.32,-0.31,4.71,9.83,13.03,17.18,18.83,18.19,15.42,10.76,5.32,0.84
Bihar,25.18,16.35,18.80,24.00,28.89,30.67,30.79,29.09,28.86,28.52,26.53,21.89,17.41
"Administrative unit not available",5.68,-5.21,-4.24,0.96,6.06,8.93,13.07,15.25,14.74,11.93,7.06,1.62,-2.61
"Arunachal Pradesh",18.74,11.30,13.26,16.40,18.97,21.56,23.50,23.92,24.03,22.99,20.40,15.95,12.33
"Administrative unit not available",8.26,-2.73,-1.70,3.52,8.63,11.77,15.95,17.99,17.41,14.46,9.57,4.02,-0.44
"West Bengal",25.61,18.39,20.97,25.72,29.04,29.82,29.50,28.40,28.32,28.14,26.74,22.96,19.07
Maharashtra,26.46,21.82,24.00,27.78,31.07,32.43,29.53,26.74,25.91,26.42,26.35,23.73,21.62
Lakshadweep,27.21,26.80,26.81,27.49,28.39,28.17,27.09,26.80,26.68,26.68,27.10,27.20,27.22
"Administrative unit not available",11.95,1.16,2.38,7.32,12.61,16.23,20.13,20.92,20.23,17.79,13.24,7.73,3.11
"Administrative unit not available",16.99,6.18,7.85,12.88,18.57,22.38,25.36,25.00,24.33,22.41,18.13,12.43,7.79
Kerala,25.89,25.00,25.91,27.25,28.12,27.46,25.62,24.84,24.93,25.40,25.66,25.49,25.05
Karnataka,25.55,22.87,24.99,27.68,29.46,29.10,26.32,24.98,24.68,25.06,25.11,23.73,22.58
"Himachal Pradesh",8.33,-1.72,-0.54,4.15,9.27,12.46,15.69,16.39,15.85,13.71,9.37,4.30,0.53
Haryana,24.78,13.89,16.44,21.94,28.19,32.03,33.56,30.84,29.65,29.08,26.02,20.19,15.16
Gujarat,26.81,19.72,21.89,26.43,30.14,32.19,31.55,29.11,27.95,28.28,28.30,24.82,21.13
Uttarakhand,13.31,4.09,5.62,10.04,15.19,18.21,20.09,19.48,19.18,17.63,14.15,9.63,5.94
Goa,26.21,24.34,25.12,27.06,28.70,28.90,26.47,25.42,25.25,25.66,26.53,25.98,25.06
"Uttar Pradesh",25.35,15.42,18.08,23.61,29.51,32.61,32.99,29.93,29.01,28.69,26.31,21.24,16.43
Nagaland,19.58,12.82,14.63,17.79,20.19,22.21,23.53,23.70,23.85,23.30,21.44,17.40,13.85
Mizoram,22.47,16.59,18.34,22.26,24.58,25.30,24.88,24.94,24.89,25.04,23.96,20.93,17.66
Meghalaya,21.98,15.31,17.35,21.35,23.41,24.16,25.10,25.51,25.78,25.22,23.67,20.11,16.52
Puducherry,27.95,25.07,26.12,27.84,29.69,30.84,30.25,29.23,28.63,28.40,27.58,26.30,25.41
Delhi,24.92,14.11,16.72,22.37,28.57,32.10,33.43,30.73,29.61,29.07,26.17,20.45,15.30
Manipur,20.17,13.73,15.51,19.11,21.72,23.14,23.39,23.55,23.46,23.33,21.91,18.21,14.69
Assam,23.08,16.05,18.16,21.86,23.97,25.48,26.89,27.22,27.42,26.75,24.83,20.91,17.11
"Andhra Pradesh",27.50,23.13,25.70,28.72,31.45,32.80,30.51,28.24,27.66,27.74,26.79,24.45,22.73
Tripura,24.88,18.22,20.40,24.74,27.00,27.62,27.68,27.74,27.91,27.87,26.63,23.14,19.40
"Tamil Nadu",27.13,24.43,25.79,27.72,29.55,29.87,28.76,27.89,27.55,27.44,26.68,25.40,24.47
Sikkim,5.50,-2.82,-1.44,2.21,5.70,8.48,11.43,12.01,11.77,10.36,6.57,2.21,-0.93
Rajasthan,25.77,15.60,18.35,24.05,29.70,33.17,33.52,30.64,29.20,29.01,26.99,21.71,16.93
Punjab,23.89,12.66,15.00,20.31,26.63,30.91,33.22,30.86,29.89,28.86,25.07,18.91,13.91
Orissa,25.87,20.05,22.81,26.59,29.76,31.37,29.85,27.20,26.92,27.12,25.92,22.81,19.91
