Variable:,tas
,India,"Andaman and Nicobar","Andhra Pradesh",Assam,Delhi,Goa,Gujarat,Haryana,"Himachal Pradesh",Karnataka,Kerala,Lakshadweep,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Punjab,Rajasthan,Sikkim,"Tamil Nadu",Tripura,"West Bengal","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Arunachal Pradesh",Bihar,Chandigarh,Chhattisgarh,"Dadra and Nagar Haveli","Daman and Diu",Jharkhand,"Madhya Pradesh",Puducherry,"Uttar Pradesh",Uttarakhand
1901,24.28,27.76,27.10,22.91,25.36,25.93,26.75,25.21,8.62,25.26,25.72,27.12,26.12,19.99,21.78,22.27,19.44,25.51,24.26,26.07,5.38,26.93,24.68,25.40,-2.76,-0.49,7.23,8.91,8.45,5.90,9.62,21.39,17.28,12.16,18.70,25.11,23.42,25.44,26.18,26.05,24.71,25.51,27.72,25.54,13.59
1902,24.54,27.81,27.43,22.64,25.59,26.31,27.27,25.45,8.82,25.58,25.76,27.05,26.69,19.71,21.60,22.06,19.09,25.70,24.48,26.39,5.27,26.93,24.50,25.35,-2.66,-0.38,7.37,9.06,8.62,6.04,9.82,21.52,17.43,12.32,18.23,25.14,23.65,25.75,26.80,26.64,24.78,25.92,27.77,25.73,13.81
1903,23.98,27.58,26.83,22.87,24.98,25.63,26.28,24.79,8.20,25.00,25.55,27.01,25.80,19.97,21.77,22.26,19.38,25.36,23.81,25.55,5.32,26.75,24.68,25.34,-3.36,-1.14,6.44,8.28,7.81,5.31,8.98,20.81,16.75,11.47,18.56,24.99,23.04,25.21,25.83,25.64,24.57,25.14,27.53,25.23,13.28
1904,24.02,27.25,26.89,22.64,25.00,25.73,26.65,24.85,8.35,25.04,25.30,26.62,26.02,19.73,21.54,22.02,19.16,25.25,23.97,25.77,5.07,26.48,24.43,25.11,-2.95,-0.67,7.02,8.71,8.26,5.68,9.43,21.18,17.03,11.96,18.36,24.75,23.09,25.17,26.15,26.02,24.39,25.21,27.31,25.14,13.26
1905,23.89,27.77,27.03,22.26,24.74,25.80,26.34,24.54,7.80,25.20,25.67,27.07,25.94,19.37,21.14,21.67,18.79,25.14,23.49,25.56,4.68,26.88,24.06,24.80,-3.64,-1.38,6.34,8.08,7.63,5.03,8.83,20.58,16.45,11.35,18.02,24.49,22.64,25.13,25.94,25.70,24.18,25.13,27.67,24.96,12.93
1906,24.13,27.88,27.21,22.78,24.97,25.94,26.40,24.81,8.35,25.33,25.77,27.14,26.07,19.91,21.69,22.22,19.31,25.50,23.93,25.61,5.26,26.99,24.61,25.31,-2.88,-0.59,7.11,8.77,8.33,5.70,9.50,21.16,17.03,12.02,18.50,24.94,23.09,25.39,26.03,25.78,24.59,25.26,27.79,25.22,13.30
1907,23.99,27.27,26.98,22.66,24.75,25.84,26.50,24.60,8.07,25.16,25.49,26.82,26.04,19.77,21.56,22.07,19.18,25.32,23.66,25.52,5.12,26.68,24.48,25.19,-3.31,-1.07,6.47,8.30,7.83,5.28,9.03,20.78,16.68,11.50,18.37,24.82,22.83,25.24,26.11,25.91,24.46,25.22,27.51,25.08,13.08
1908,24.01,27.20,26.90,22.98,24.88,25.68,26.16,24.70,8.31,25.04,25.42,26.77,25.88,20.04,21.87,22.32,19.49,25.44,23.81,25.37,5.47,26.61,24.73,25.44,-2.99,-0.74,6.93,8.68,8.23,5.62,9.42,21.07,16.97,11.89,18.71,25.12,23.03,25.30,25.83,25.58,24.69,25.16,27.42,25.29,13.31
1909,23.94,27.21,26.98,23.12,24.50,25.82,26.17,24.34,7.96,25.15,25.46,26.81,25.98,20.21,21.96,22.47,19.66,25.32,23.45,25.17,5.45,26.64,24.86,25.38,-3.08,-0.79,7.04,8.56,8.15,5.42,9.33,20.77,16.67,11.83,18.91,24.98,22.62,25.17,25.98,25.62,24.52,25.04,27.45,25.01,12.91
1910,23.81,27.15,26.82,22.65,24.57,25.63,26.12,24.44,7.99,24.99,25.40,26.78,25.81,19.73,21.51,22.00,19.18,25.17,23.55,25.24,5.02,26.59,24.39,25.05,-3.23,-0.96,6.75,8.41,7.97,5.34,9.15,20.75,16.64,11.65,18.38,24.67,22.74,25.07,25.81,25.54,24.30,24.94,27.40,24.91,12.96
1911,24.16,27.41,27.19,22.55,24.99,26.09,26.60,24.85,8.32,25.42,25.77,27.06,26.29,19.64,21.45,21.93,19.05,25.38,23.93,25.74,5.00,26.93,24.35,25.07,-2.90,-0.65,6.81,8.63,8.14,5.63,9.32,21.11,17.00,11.85,18.20,24.77,23.08,25.37,26.34,26.01,24.42,25.45,27.73,25.25,13.28
1912,24.28,27.40,27.37,22.67,24.98,26.24,26.90,24.83,8.29,25.57,25.84,27.11,26.51,19.79,21.58,22.10,19.18,25.53,23.91,25.83,5.08,26.99,24.50,25.21,-2.82,-0.52,7.16,8.78,8.33,5.70,9.48,21.12,16.99,12.05,18.35,24.84,23.04,25.55,26.58,26.36,24.56,25.56,27.81,25.25,13.24
