Variable:,tasmax,,,,,,,,,,,,
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
India,30.17,24.32,26.34,31.06,34.74,36.62,34.63,31.15,30.1,30.67,30.57,27.32,24.43
Madhya Pradesh,31.92,25.4,27.85,33.5,38.21,40.98,37.92,31.56,29.77,31.22,32.4,28.7,25.44
Jharkhand,30.52,23.86,26.26,32.19,36.78,38.28,35.63,31.31,30.51,30.87,30.08,26.71,23.59
Andaman and Nicobar,30.62,30.07,30.57,31.4,32.49,31.43,30.25,30.19,30.02,29.98,30.51,30.39,30.08
Chhattisgarh,31.41,26.41,28.82,33.69,37.73,40.03,36.01,30.31,29.52,30.42,30.53,27.82,25.61
Administrative unit not available,14.17,1.76,2.55,8.72,14.36,18.72,22.83,24.38,23.51,21.36,16.71,10.13,4.29
Chandigarh,29.55,19.13,20.77,26.74,33.42,37.87,38.47,34.22,32.72,32.82,31.37,25.82,20.79
Administrative unit not available,12.39,-0.41,0.53,6.45,12.28,16.76,21.22,23.21,22.48,19.98,14.97,8.32,2.19
Daman and Diu,31.13,28.92,29.19,31.74,32.36,32.72,32.3,30.33,29.41,30.47,33.62,32.48,29.88
Administrative unit not available,5.21,-7.11,-6.78,-0.85,4.85,8.67,12.97,16.81,15.96,13.06,7.29,0.85,-4.07
Dadra and Nagar Haveli,32.43,30.6,31.5,34.46,35.95,35.8,33.22,30.16,29.4,30.88,33.88,32.61,30.77
Administrative unit not available,3.72,-9.02,-8.48,-2.6,3.19,7.22,11.89,16.44,15.51,12.03,5.3,-1.46,-6.28
Administrative unit not available,27.71,16.2,17.73,23.37,30.11,35.6,37.78,34.36,32.95,32.46,29.94,23.72,17.73
Administrative unit not available,14.68,2.49,3.23,9.12,14.79,19.3,23.47,24.48,23.66,21.66,17.33,10.89,5.02
Bihar,30.92,23.23,25.65,31.81,36.3,37.35,35.94,32.82,32.16,32.42,31.37,27.87,23.84
Administrative unit not available,11.2,-0.63,-0.13,5.79,11.36,15.44,19.22,21.27,20.31,18.17,13.49,7.26,2.1
Arunachal Pradesh,23.9,18.24,19,22.2,24.19,26.23,27.37,27.79,27.71,27.25,25.33,22.07,19.16
Administrative unit not available,13.62,1.21,1.97,8.05,13.72,18.1,22.29,23.86,23.03,20.83,16.19,9.65,3.8
West Bengal,30.5,24.7,26.92,32.24,35.07,35.19,33.67,31.74,31.18,31.5,30.84,27.96,24.87
Maharashtra,32.66,29.83,31.79,35.64,38.38,39.4,34.81,30.39,29.37,30.71,32.39,30.34,28.92
Lakshadweep,30.03,30.47,30.16,30.39,31.14,30.62,29.34,28.98,28.98,29.11,29.9,30.56,30.72
Administrative unit not available,17.44,5.5,6.37,12.06,17.96,22.78,26.6,26.47,25.53,23.88,19.97,13.69,7.79
Administrative unit not available,23.1,11.68,12.88,18.72,25.07,29.93,32.24,30.43,29.26,28.29,25.33,19.23,13.61
Kerala,29.65,29.83,30.58,31.62,32.21,31.09,28.72,27.75,27.81,28.64,29.18,29.25,29.24
Karnataka,30.74,29.4,31.46,34.21,35.68,35.01,30.77,28.49,28.23,29.13,29.71,28.77,28.16
Himachal Pradesh,13.95,3.67,4.22,9.56,14.99,19.15,21.76,21.84,20.73,19.22,15.56,10.1,6
Haryana,31.4,21.14,23.04,29.26,35.65,39.83,40.04,35.71,33.88,34.28,33.28,27.73,22.48
Gujarat,33.17,28.03,29.74,34.32,37.4,38.91,36.64,32.79,31.21,32.68,35.14,32.17,28.88
Uttarakhand,18.93,9.97,11.01,16.26,21.46,25.04,25.87,24.11,23.45,22.39,20.02,15.38,11.72
Goa,30.56,30.92,31.08,32.37,33.28,32.88,29.47,27.73,27.61,28.59,30.64,31.25,30.91
Uttar Pradesh,31.86,22.83,25.32,31.8,37.57,40.52,39.11,34.18,32.78,33.27,32.79,28.28,23.55
Nagaland,24.46,19.54,20.57,24.17,25.55,26.75,26.95,27.07,26.94,27.03,25.9,22.78,20.04
Mizoram,26.87,22.69,24.41,28.56,29.97,29.76,28.05,27.87,27.51,28.33,27.68,25.04,22.5
Meghalaya,26.12,20.94,22.76,27.2,28.15,28.07,28.12,28.34,28.39,28.25,27.22,24.33,21.5
Puducherry,31.58,28.73,29.73,31.33,33.04,34.81,34.43,33.18,32.44,32.12,30.94,29.49,28.59
Delhi,31.3,21.21,23.2,29.67,35.88,39.62,39.57,35.4,33.6,34.04,33.08,27.66,22.36
Manipur,25.03,20.37,21.85,25.88,27.53,28.01,26.84,26.71,26.3,26.95,26.13,23.1,20.49
Assam,27.72,22.37,23.93,28.11,29.03,29.72,30.28,30.52,30.44,30.25,29,25.93,22.82
Andhra Pradesh,32.59,29.21,31.63,34.93,37.33,38.64,35.5,32.12,31.41,31.71,31.3,29.26,28.12
Tripura,29.47,24.96,26.72,30.98,32.07,31.84,30.88,30.7,30.66,31.09,30.5,27.94,25.23
Tamil Nadu,31.37,28.97,30.61,32.57,34.06,34.39,32.99,31.95,31.59,31.53,30.49,29.11,28.21
Sikkim,11.24,4.54,5.09,8.49,11.44,14.03,16.21,16.2,15.66,15.03,12.53,8.87,6.37
Rajasthan,32.75,23.77,25.94,32.06,37.37,40.87,40.03,35.55,33.42,34.33,34.75,29.64,24.93
Punjab,30.72,19.8,21.43,27.45,34.32,39.3,40.32,36.03,34.38,34.41,32.73,26.78,21.25
Orissa,30.9,26.53,28.77,32.88,35.84,37.25,34.41,30.41,29.94,30.62,30.32,27.9,25.86
