Variable:,tasmax
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
India,30.33,24.34,26.85,31.33,34.97,36.95,34.69,30.99,30.17,30.69,30.53,27.51,24.82
"Madhya Pradesh",32.00,25.30,28.37,33.70,38.36,41.41,37.96,31.28,29.77,31.06,32.13,28.78,25.77
Jharkhand,30.89,24.38,26.96,32.69,37.25,38.72,35.82,31.24,30.71,30.97,30.23,27.14,24.44
"Andaman and Nicobar",30.34,29.75,30.27,31.27,32.26,31.41,30.08,29.74,29.66,29.71,30.18,30.08,29.72
Chhattisgarh,31.57,26.55,29.18,33.94,37.94,40.48,36.18,30.10,29.60,30.38,30.48,27.95,26.07
"Administrative unit not available",14.43,1.59,3.47,9.27,14.60,19.18,22.71,24.30,23.44,21.67,17.02,10.43,4.72
Chandigarh,29.71,18.79,21.52,27.07,33.68,38.40,38.56,34.04,32.61,32.94,31.29,26.14,21.09
"Administrative unit not available",12.64,-0.56,1.46,7.09,12.46,17.11,20.98,23.22,22.37,20.37,15.30,8.56,2.65
"Daman and Diu",31.27,28.86,29.84,31.97,32.69,32.92,32.38,30.15,29.56,30.52,33.53,32.57,30.23
"Administrative unit not available",5.49,-7.36,-5.84,-0.25,5.15,9.13,12.94,16.82,15.95,13.42,7.50,1.21,-3.58
"Dadra and Nagar Haveli",32.55,30.60,32.13,34.70,36.23,35.95,33.24,29.97,29.51,30.80,33.72,32.65,31.12
"Administrative unit not available",3.97,-9.29,-7.62,-2.10,3.47,7.66,11.92,16.45,15.48,12.34,5.44,-1.10,-5.86
"Administrative unit not available",27.98,15.97,18.69,23.96,30.47,36.14,37.81,34.27,32.93,32.69,30.14,24.04,18.19
"Administrative unit not available",14.91,2.33,4.12,9.69,15.00,19.71,23.32,24.39,23.53,21.95,17.61,11.15,5.43
Bihar,31.29,23.63,26.31,32.31,36.77,37.83,36.14,32.77,32.34,32.54,31.53,28.43,24.66
"Administrative unit not available",11.49,-0.84,0.83,6.38,11.69,15.93,19.23,21.23,20.32,18.48,13.72,7.61,2.61
"Arunachal Pradesh",24.41,18.59,19.44,22.89,25.16,26.52,27.77,28.06,28.23,27.66,25.64,22.80,19.82
"Administrative unit not available",13.86,1.05,2.88,8.61,13.93,18.54,22.14,23.79,22.94,21.15,16.49,9.93,4.22
"West Bengal",30.92,25.29,27.69,32.78,35.63,35.49,33.79,31.73,31.48,31.72,31.08,28.53,25.78
Maharashtra,32.73,29.83,32.25,35.79,38.55,39.61,34.79,30.16,29.46,30.63,32.23,30.35,29.21
Lakshadweep,29.92,30.34,30.01,30.35,30.84,30.62,29.23,28.87,29.02,29.08,29.78,30.27,30.58
"Administrative unit not available",17.70,5.30,7.32,12.66,18.20,23.22,26.47,26.45,25.46,24.24,20.28,13.93,8.24
"Administrative unit not available",23.38,11.48,13.80,19.27,25.42,30.47,32.32,30.36,29.27,28.55,25.49,19.57,14.07
Kerala,29.56,29.76,30.51,31.68,31.97,31.04,28.54,27.58,27.81,28.59,29.07,29.06,29.22
Karnataka,30.75,29.43,31.71,34.37,35.66,35.04,30.64,28.29,28.28,29.10,29.63,28.72,28.31
"Himachal Pradesh",14.15,3.36,5.02,9.96,15.27,19.67,21.85,21.70,20.67,19.37,15.55,10.43,6.36
Haryana,31.56,20.85,23.77,29.57,35.90,40.42,40.16,35.49,33.76,34.36,33.18,28.10,22.80
Gujarat,33.30,27.93,30.32,34.52,37.67,39.16,36.72,32.58,31.33,32.75,35.04,32.25,29.19
Uttarakhand,19.10,9.75,11.68,16.60,21.67,25.63,26.01,23.85,23.36,22.42,19.94,15.76,12.08
Goa,30.62,30.94,31.47,32.57,33.41,32.96,29.41,27.56,27.69,28.57,30.61,31.25,31.09
"Uttar Pradesh",32.03,22.78,25.93,32.14,37.76,41.09,39.27,33.97,32.77,33.20,32.62,28.62,24.01
Nagaland,24.89,19.96,21.14,24.67,26.34,26.93,27.15,27.28,27.36,27.38,26.18,23.36,20.76
Mizoram,27.28,23.22,25.15,29.03,30.60,29.86,28.11,28.01,27.85,28.56,27.95,25.63,23.28
Meghalaya,26.58,21.47,23.52,27.70,28.83,28.26,28.25,28.50,28.78,28.58,27.51,24.99,22.40
Puducherry,31.59,28.77,29.79,31.51,32.97,34.87,34.37,33.05,32.49,32.14,30.92,29.41,28.67
Delhi,31.43,20.89,23.89,29.93,36.05,40.16,39.65,35.12,33.50,34.04,32.88,28.05,22.65
Manipur,25.46,20.89,22.54,26.40,28.27,28.12,26.94,26.88,26.68,27.22,26.41,23.72,21.26
Assam,28.19,22.79,24.56,28.62,29.76,29.96,30.49,30.73,30.87,30.64,29.34,26.63,23.64
"Andhra Pradesh",32.64,29.23,31.82,35.07,37.40,38.84,35.50,31.92,31.48,31.68,31.26,29.22,28.30
Tripura,29.90,25.51,27.51,31.48,32.67,31.96,30.93,30.81,31.02,31.34,30.78,28.57,26.08
"Tamil Nadu",31.35,28.97,30.61,32.71,33.93,34.43,32.90,31.82,31.61,31.52,30.44,28.98,28.24
Sikkim,11.69,4.86,5.63,8.94,11.97,14.46,16.48,16.32,16.03,15.43,12.88,9.70,7.24
Rajasthan,32.90,23.54,26.65,32.31,37.61,41.32,40.10,35.34,33.42,34.39,34.64,29.89,25.28
Punjab,30.94,19.53,22.24,27.88,34.64,39.86,40.41,35.87,34.32,34.57,32.77,27.12,21.60
Orissa,31.16,26.85,29.23,33.24,36.17,37.66,34.62,30.27,30.08,30.67,30.40,28.16,26.49
