Variable:,tasmax
,India,"Andaman and Nicobar","Andhra Pradesh",Assam,Delhi,Goa,Gujarat,Haryana,"Himachal Pradesh",Karnataka,Kerala,Lakshadweep,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Punjab,Rajasthan,Sikkim,"Tamil Nadu",Tripura,"West Bengal","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Arunachal Pradesh",Bihar,Chandigarh,Chhattisgarh,"Dadra and Nagar Haveli","Daman and Diu",Jharkhand,"Madhya Pradesh",Puducherry,"Uttar Pradesh",Uttarakhand
1901,30.32,31.01,32.55,27.73,31.75,30.50,33.32,31.86,14.33,30.70,29.75,30.17,32.59,25.04,26.12,26.87,24.49,30.95,31.15,33.16,11.32,31.49,29.47,30.56,3.99,5.50,12.76,14.49,13.94,11.55,14.98,28.09,23.49,17.78,24.03,31.07,29.97,31.47,32.37,31.18,30.63,32.09,31.67,32.19,19.31
1902,30.58,31.06,32.88,27.50,31.99,30.88,33.85,32.09,14.53,31.01,29.79,30.10,33.16,24.81,25.99,26.73,24.18,31.15,31.38,33.49,11.22,31.49,29.36,30.56,4.09,5.61,12.90,14.65,14.11,11.69,15.19,28.22,23.64,17.93,23.57,31.12,30.21,31.78,32.98,31.76,30.73,32.51,31.71,32.38,19.52
1903,30.01,30.83,32.28,27.66,31.38,30.19,32.85,31.44,13.91,30.44,29.58,30.06,32.28,24.95,26.06,26.78,24.40,30.78,30.70,32.65,11.25,31.31,29.40,30.45,3.40,4.84,11.97,13.86,13.29,10.96,14.35,27.51,22.96,17.08,23.89,30.94,29.59,31.24,32.02,30.77,30.47,31.72,31.47,31.87,18.99
1904,30.07,30.50,32.34,27.53,31.40,30.31,33.23,31.50,14.06,30.48,29.33,29.68,32.50,24.83,25.95,26.68,24.25,30.71,30.87,32.87,11.10,31.04,29.30,30.35,3.80,5.32,12.54,14.29,13.74,11.33,14.80,27.88,23.24,17.58,23.70,30.77,29.65,31.20,32.34,31.14,30.36,31.80,31.26,31.79,18.97
1905,29.92,31.01,32.48,27.04,31.14,30.38,32.91,31.19,13.51,30.64,29.70,30.13,32.41,24.32,25.42,26.18,23.79,30.58,30.38,32.66,10.62,31.44,28.77,29.93,3.12,4.61,11.86,13.66,13.12,10.68,14.20,27.27,22.65,16.96,23.34,30.46,29.19,31.16,32.13,30.82,30.11,31.72,31.61,31.61,18.64
1906,30.16,31.13,32.65,27.57,31.37,30.51,32.97,31.46,14.05,30.77,29.79,30.19,32.54,24.86,25.96,26.72,24.31,30.93,30.82,32.71,11.23,31.55,29.31,30.43,3.88,5.40,12.64,14.36,13.81,11.35,14.87,27.86,23.24,17.64,23.83,30.91,29.64,31.42,32.22,30.90,30.51,31.84,31.73,31.87,19.01
1907,30.04,30.51,32.43,27.61,31.15,30.42,33.08,31.24,13.77,30.60,29.52,29.88,32.52,24.94,26.06,26.83,24.32,30.78,30.55,32.61,11.17,31.24,29.45,30.49,3.45,4.92,11.99,13.88,13.32,10.93,14.40,27.47,22.89,17.12,23.72,30.85,29.38,31.27,32.30,31.04,30.46,31.80,31.45,31.73,18.80
1908,30.08,30.45,32.35,28.03,31.28,30.26,32.74,31.35,14.01,30.48,29.45,29.82,32.36,25.36,26.51,27.25,24.71,30.93,30.70,32.47,11.57,31.17,29.87,30.89,3.76,5.24,12.45,14.26,13.71,11.26,14.78,27.77,23.17,17.51,24.07,31.20,29.58,31.34,32.03,30.70,30.76,31.75,31.37,31.94,19.02
1909,29.98,30.45,32.43,27.98,30.90,30.40,32.75,30.99,13.66,30.59,29.49,29.87,32.46,25.28,26.35,27.12,24.72,30.77,30.35,32.27,11.47,31.20,29.70,30.62,3.68,5.20,12.57,14.14,13.63,11.07,14.70,27.48,22.88,17.45,24.24,30.99,29.17,31.20,32.17,30.74,30.51,31.62,31.40,31.66,18.62
1910,29.86,30.40,32.26,27.54,30.97,30.20,32.70,31.09,13.70,30.42,29.43,29.83,32.28,24.86,25.95,26.70,24.27,30.63,30.44,32.34,11.03,31.15,29.29,30.30,3.52,5.02,12.28,13.99,13.46,10.99,14.52,27.46,22.85,17.27,23.72,30.67,29.29,31.09,32.01,30.65,30.27,31.53,31.34,31.56,18.67
1911,30.19,30.66,32.64,27.38,31.40,30.67,33.17,31.50,14.02,30.86,29.80,30.12,32.76,24.70,25.81,26.56,24.10,30.82,30.82,32.83,10.95,31.49,29.17,30.25,3.86,5.34,12.34,14.21,13.64,11.28,14.69,27.82,23.21,17.46,23.54,30.73,29.63,31.40,32.52,31.13,30.35,32.04,31.67,31.90,19.00
1912,30.32,30.65,32.82,27.52,31.39,30.82,33.48,31.47,13.99,31.02,29.87,30.17,32.99,24.85,25.94,26.71,24.24,30.98,30.81,32.93,11.08,31.56,29.31,30.40,3.94,5.46,12.69,14.36,13.81,11.35,14.84,27.82,23.20,17.66,23.69,30.83,29.59,31.58,32.77,31.48,30.51,32.15,31.76,31.90,18.96
1913,30.03,30.72,32.63,27.30,31.07,30.56,33.05,31.15,13.64,30.80,29.75,30.12,32.63,24.59,25.66,26.43,24.06,30.68,30.44,32.59,10.86,31.47,29.02,30.11,3.30,4.81,12.21,13.89,13.35,10.88,14.42,27.40,22.79,17.22,23.61,30.55,29.27,31.29,32.38,31.01,30.20,31.84,31.65,31.59,18.63
1914,30.17,30.73,32.52,27.55,31.25,30.59,33.28,31.35,13.91,30.79,29.79,30.22,32.69,24.87,26.00,26.75,24.26,30.77,30.69,32.78,11.11,31.46,29.35,30.44,3.83,5.37,12.83,14.36,13.85,11.30,14.91,27.78,23.13,17.74,23.68,30.83,29.49,31.34,32.50,31.23,30.45,32.00,31.64,31.81,18.86
1915,30.55,30.73,32.83,28.01,31.89,30.74,33.54,31.96,14.53,30.96,29.93,30.32,32.93,25.29,26.38,27.12,24.76,31.16,31.33,33.31,11.54,31.64,29.72,30.75,4.42,6.05,13.54,15.13,14.61,12.01,15.67,28.55,23.86,18.48,24.28,31.24,30.07,31.71,32.69,31.43,30.80,32.35,31.82,32.33,19.42
1916,30.15,30.41,32.47,27.79,31.29,30.48,33.19,31.46,14.16,30.67,29.59,29.97,32.62,25.10,26.16,26.91,24.55,30.79,30.89,32.73,11.21,31.28,29.48,30.40,4.06,5.60,12.79,14.54,13.99,11.56,15.03,28.08,23.45,17.83,23.94,30.87,29.67,31.29,32.47,31.18,30.41,31.84,31.48,31.84,18.99
