Variable:,tasmin
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
India,18.35,10.32,12.45,16.58,20.88,23.41,24.07,23.20,22.74,21.83,18.97,14.49,10.98
"Madhya Pradesh",18.96,9.97,12.25,17.16,22.41,26.03,26.03,23.94,23.23,22.44,19.11,14.15,10.43
Jharkhand,18.91,9.85,12.43,16.93,21.84,24.30,25.16,24.11,23.97,23.20,20.11,14.51,10.13
"Andaman and Nicobar",23.50,22.42,22.22,22.78,24.15,24.30,24.19,23.94,23.96,23.57,23.37,23.76,23.27
Chhattisgarh,19.75,12.04,14.73,18.80,23.09,26.01,25.37,23.46,23.24,22.87,20.07,15.33,11.80
"Administrative unit not available",3.16,-6.68,-5.77,-0.91,3.62,6.21,10.26,12.96,12.54,8.49,3.24,-1.81,-4.85
Chandigarh,16.57,5.83,7.94,12.75,18.37,22.19,25.28,24.81,24.38,22.41,17.09,10.61,6.64
"Administrative unit not available",1.52,-8.58,-7.53,-2.74,1.93,4.49,8.70,11.57,11.12,6.92,1.61,-3.31,-6.51
"Daman and Diu",21.18,14.08,15.23,18.83,22.13,25.16,26.57,25.60,24.89,24.04,22.30,19.19,15.82
"Administrative unit not available",-6.58,-17.57,-16.66,-11.28,-6.41,-4.28,0.77,3.88,3.78,-0.30,-5.85,-11.13,-14.61
"Dadra and Nagar Haveli",20.37,13.49,14.81,18.67,22.36,24.95,25.09,23.92,23.47,22.93,21.41,18.09,14.97
"Administrative unit not available",-9.62,-21.54,-20.10,-14.67,-9.60,-7.10,-1.49,2.21,2.17,-2.46,-9.27,-15.24,-19.06
"Administrative unit not available",14.44,3.63,5.65,10.41,15.75,19.73,23.20,23.85,23.35,20.53,14.43,8.11,4.14
"Administrative unit not available",4.09,-5.46,-4.61,-0.01,4.58,7.18,11.12,13.63,13.10,9.17,4.21,-0.65,-3.74
Bihar,19.17,9.19,11.35,15.93,21.23,24.10,25.71,25.48,25.42,24.61,21.39,14.99,10.21
"Administrative unit not available",0.05,-10.06,-9.19,-4.20,0.43,2.78,7.18,9.65,9.43,5.67,0.56,-4.50,-7.73
"Arunachal Pradesh",13.45,4.59,7.25,10.42,13.43,16.66,19.36,20.10,20.03,18.82,15.27,9.71,5.45
"Administrative unit not available",2.79,-7.02,-6.14,-1.33,3.24,5.81,9.86,12.55,12.11,8.07,2.92,-2.03,-5.10
"West Bengal",20.33,11.69,14.20,18.75,22.75,24.37,25.30,25.06,25.13,24.62,22.33,17.05,12.42
Maharashtra,20.03,13.91,15.72,19.61,23.39,25.37,24.27,22.92,22.33,21.91,20.14,16.59,13.93
Lakshadweep,24.20,22.97,23.20,24.28,25.47,25.50,24.66,24.42,24.24,24.16,24.18,23.77,23.49
"Administrative unit not available",6.37,-3.51,-2.35,2.24,6.96,10.03,13.88,15.78,15.27,11.67,6.48,1.37,-1.99
"Administrative unit not available",10.81,0.54,2.05,6.81,11.80,15.20,18.75,20.04,19.69,16.56,10.96,5.20,1.63
Kerala,21.89,20.03,20.86,22.43,23.72,23.54,22.35,21.78,21.92,22.02,21.96,21.54,20.55
Karnataka,20.15,16.35,18.13,20.76,22.90,23.01,21.87,21.34,21.04,20.80,20.41,18.43,16.68
"Himachal Pradesh",2.65,-7.23,-6.05,-1.48,3.27,6.13,9.92,11.42,11.22,8.22,3.16,-2.00,-5.29
Haryana,18.18,6.68,9.30,14.53,20.53,24.62,27.50,26.46,25.69,23.93,18.76,12.14,7.51
Gujarat,20.28,11.49,13.58,18.27,22.57,25.48,26.54,25.47,24.57,23.66,21.29,17.04,13.07
Uttarakhand,7.63,-1.83,-0.35,3.70,8.70,11.73,14.60,15.32,15.12,12.95,8.20,3.24,-0.27
Goa,21.69,17.82,18.81,21.44,23.83,24.79,23.50,23.03,22.81,22.53,22.27,20.43,18.91
"Uttar Pradesh",18.74,8.07,10.41,15.30,21.25,25.00,27.14,25.91,25.33,24.14,19.70,13.43,8.80
Nagaland,14.54,6.19,8.28,11.24,14.60,17.50,19.94,20.33,20.42,19.53,16.81,11.80,7.47
Mizoram,17.80,10.34,11.60,15.72,19.02,20.73,21.66,21.99,21.90,21.63,20.05,16.27,12.34
Meghalaya,17.56,9.43,11.23,15.21,18.49,20.16,22.03,22.72,22.83,22.10,19.86,15.27,10.99
Puducherry,24.05,21.22,22.06,23.78,25.90,26.49,25.86,25.11,24.65,24.49,24.05,22.90,21.90
Delhi,18.55,7.09,9.72,15.01,21.14,25.04,27.75,26.55,25.85,24.15,19.27,12.66,7.88
Manipur,15.10,7.05,8.66,12.13,15.69,18.12,19.85,20.38,20.25,19.64,17.49,12.93,8.60
Assam,18.21,9.66,11.85,15.38,18.68,21.09,23.36,23.92,24.06,23.18,20.44,15.49,11.04
"Andhra Pradesh",22.10,17.01,19.19,21.94,25.03,26.63,25.43,24.15,23.78,23.54,22.12,19.26,16.94
Tripura,20.01,11.24,13.37,18.23,21.79,23.29,24.47,24.80,24.79,24.51,22.55,17.68,12.98
"Tamil Nadu",22.61,19.70,20.54,22.31,24.62,24.98,24.31,23.65,23.35,23.17,22.67,21.50,20.41
Sikkim,-0.55,-10.52,-8.61,-4.42,-0.31,2.91,6.58,7.90,7.59,5.58,0.31,-5.20,-8.95
Rajasthan,18.71,7.50,10.27,15.86,21.73,25.72,27.37,26.05,25.06,23.56,19.13,13.23,8.54
Punjab,17.04,5.49,7.89,13.01,18.68,22.93,26.48,26.23,25.70,23.33,17.40,10.61,6.25
Orissa,20.43,13.31,16.12,19.77,23.22,25.24,25.15,23.83,23.70,23.41,21.23,16.86,13.18
