Variable:,tasmin
,India,"Andaman and Nicobar","Andhra Pradesh",Assam,Delhi,Goa,Gujarat,Haryana,"Himachal Pradesh",Karnataka,Kerala,Lakshadweep,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Punjab,Rajasthan,Sikkim,"Tamil Nadu",Tripura,"West Bengal","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Arunachal Pradesh",Bihar,Chandigarh,Chhattisgarh,"Dadra and Nagar Haveli","Daman and Diu",Jharkhand,"Madhya Pradesh",Puducherry,"Uttar Pradesh",Uttarakhand
1901,18.30,24.56,21.70,18.13,18.98,21.42,20.23,18.62,2.94,19.87,21.74,24.13,19.69,15.00,17.50,17.72,14.44,20.13,17.41,19.02,-0.52,22.42,19.93,20.29,-9.53,-6.48,1.72,3.36,3.00,0.27,4.30,14.74,11.11,6.58,13.41,19.20,16.92,19.45,20.04,21.00,18.84,18.97,23.82,18.94,7.92
1902,18.55,24.61,22.03,17.83,19.22,21.80,20.75,18.85,3.13,20.19,21.78,24.06,20.26,14.67,17.26,17.44,14.07,20.30,17.64,19.35,-0.66,22.42,19.69,20.19,-9.43,-6.37,1.86,3.51,3.17,0.41,4.49,14.87,11.25,6.73,12.95,19.22,17.16,19.77,20.65,21.58,18.89,19.39,23.86,19.13,8.13
1903,18.00,24.38,21.43,18.13,18.60,21.12,19.75,18.20,2.52,19.61,21.57,24.02,19.37,15.03,17.54,17.78,14.41,19.99,16.97,18.50,-0.58,22.24,20.00,20.29,-10.12,-7.13,0.94,2.72,2.34,-0.32,3.66,14.16,10.57,5.88,13.28,19.09,16.54,19.23,19.69,20.59,18.73,18.60,23.62,18.63,7.60
1904,18.02,24.05,21.49,17.80,18.63,21.22,20.12,18.26,2.66,19.65,21.31,23.63,19.58,14.69,17.17,17.41,14.12,19.84,17.13,18.72,-0.93,21.97,19.63,19.92,-9.72,-6.66,1.51,3.16,2.80,0.06,4.11,14.53,10.86,6.38,13.07,18.78,16.60,19.18,19.99,20.96,18.46,18.68,23.41,18.54,7.58
1905,17.91,24.56,21.64,17.54,18.37,21.30,19.81,17.95,2.12,19.81,21.69,24.08,19.51,14.46,16.92,17.21,13.86,19.75,16.65,18.51,-1.24,22.37,19.39,19.72,-10.40,-7.37,0.83,2.53,2.17,-0.60,3.52,13.93,10.27,5.76,12.74,18.57,16.14,19.15,19.79,20.65,18.30,18.60,23.76,18.36,7.25
1906,18.15,24.68,21.81,18.05,18.60,21.43,19.87,18.22,2.66,19.94,21.78,24.15,19.64,15.01,17.46,17.77,14.36,20.12,17.08,18.56,-0.70,22.48,19.96,20.24,-9.65,-6.58,1.61,3.23,2.87,0.07,4.19,14.51,10.86,6.44,13.22,19.01,16.59,19.41,19.89,20.72,18.72,18.72,23.88,18.62,7.62
1907,17.99,24.06,21.58,17.77,18.38,21.34,19.97,18.00,2.38,19.77,21.50,23.83,19.62,14.65,17.11,17.36,14.10,19.91,16.81,18.47,-0.91,22.17,19.57,19.92,-10.07,-7.06,0.95,2.74,2.37,-0.35,3.70,14.12,10.51,5.91,13.08,18.84,16.34,19.26,19.97,20.87,18.52,18.68,23.60,18.48,7.41
1908,17.98,24.00,21.50,17.99,18.51,21.17,19.63,18.10,2.62,19.64,21.43,23.78,19.45,14.78,17.27,17.44,14.31,20.00,16.96,18.32,-0.63,22.10,19.65,20.04,-9.76,-6.73,1.42,3.14,2.77,-0.01,4.10,14.43,10.79,6.31,13.41,19.10,16.53,19.32,19.69,20.51,18.67,18.62,23.52,18.69,7.63
1909,17.94,24.01,21.58,18.30,18.13,21.32,19.64,17.74,2.27,19.77,21.48,23.82,19.55,15.19,17.62,17.87,14.64,19.91,16.61,18.12,-0.54,22.13,20.06,20.19,-9.84,-6.78,1.53,3.01,2.69,-0.21,4.01,14.13,10.50,6.24,13.62,19.01,16.13,19.19,19.84,20.57,18.59,18.50,23.55,18.41,7.23
1910,17.81,23.95,21.42,17.81,18.20,21.12,19.60,17.85,2.31,19.60,21.41,23.79,19.38,14.67,17.12,17.35,14.12,19.76,16.70,18.20,-0.95,22.08,19.54,19.84,-10.00,-6.96,1.25,2.86,2.51,-0.29,3.83,14.11,10.47,6.07,13.09,18.71,16.24,19.08,19.67,20.48,18.37,18.41,23.49,18.31,7.28
